tower_id,column_id,column_name,level_id,module_id,counter_in_module,counter_id,x_center_m,y_center_m,z_center_m,x_lo_m,x_hi_m,y_lo_m,y_hi_m,z_lo_m,z_hi_m
1,1,C1,4,4,1,25,0.6562,5.418,5.264,0.3937,0.9187,4.644,6.192,4.512,6.016
1,1,C1,4,4,2,26,0.3938,5.418,5.264,0.1313,0.6562,4.644,6.192,4.512,6.016
1,1,C1,4,4,3,27,0.6562,3.87,5.264,0.3937,0.9187,3.096,4.644,4.512,6.016
1,1,C1,4,4,4,28,0.3938,3.87,5.264,0.1313,0.6562,3.096,4.644,4.512,6.016
1,1,C1,4,4,5,29,0.6562,2.322,5.264,0.3937,0.9187,1.548,3.096,4.512,6.016
1,1,C1,4,4,6,30,0.3938,2.322,5.264,0.1313,0.6562,1.548,3.096,4.512,6.016
1,1,C1,4,4,7,31,0.3938,0.774,5.264,0.1313,0.6562,0.0,1.548,4.512,6.016
1,1,C1,4,4,8,32,0.6562,0.774,5.264,0.3937,0.9187,0.0,1.548,4.512,6.016
1,1,C1,5,5,1,33,0.6562,5.418,6.768,0.3937,0.9187,4.644,6.192,6.016,7.52
1,1,C1,5,5,2,34,0.3938,5.418,6.768,0.1313,0.6562,4.644,6.192,6.016,7.52
1,1,C1,5,5,3,35,0.6562,3.87,6.768,0.3937,0.9187,3.096,4.644,6.016,7.52
1,1,C1,5,5,4,36,0.3938,3.87,6.768,0.1313,0.6562,3.096,4.644,6.016,7.52
1,1,C1,5,5,5,37,0.6562,2.322,6.768,0.3937,0.9187,1.548,3.096,6.016,7.52
1,1,C1,5,5,6,38,0.3938,2.322,6.768,0.1313,0.6562,1.548,3.096,6.016,7.52
1,1,C1,5,5,7,39,0.3938,0.774,6.768,0.1313,0.6562,0.0,1.548,6.016,7.52
1,1,C1,5,5,8,40,0.6562,0.774,6.768,0.3937,0.9187,0.0,1.548,6.016,7.52
1,1,C1,6,6,1,41,0.6562,5.418,8.272,0.3937,0.9187,4.644,6.192,7.52,9.024
1,1,C1,6,6,2,42,0.3938,5.418,8.272,0.1313,0.6562,4.644,6.192,7.52,9.024
1,1,C1,6,6,3,43,0.6562,3.87,8.272,0.3937,0.9187,3.096,4.644,7.52,9.024
1,1,C1,6,6,4,44,0.3938,3.87,8.272,0.1313,0.6562,3.096,4.644,7.52,9.024
1,1,C1,6,6,5,45,0.6562,2.322,8.272,0.3937,0.9187,1.548,3.096,7.52,9.024
1,1,C1,6,6,6,46,0.3938,2.322,8.272,0.1313,0.6562,1.548,3.096,7.52,9.024
1,1,C1,6,6,7,47,0.3938,0.774,8.272,0.1313,0.6562,0.0,1.548,7.52,9.024
1,1,C1,6,6,8,48,0.6562,0.774,8.272,0.3937,0.9187,0.0,1.548,7.52,9.024
1,1,C1,7,7,1,49,0.6562,5.418,9.776,0.3937,0.9187,4.644,6.192,9.024,10.528
1,1,C1,7,7,2,50,0.3938,5.418,9.776,0.1313,0.6562,4.644,6.192,9.024,10.528
1,1,C1,7,7,3,51,0.6562,3.87,9.776,0.3937,0.9187,3.096,4.644,9.024,10.528
1,1,C1,7,7,4,52,0.3938,3.87,9.776,0.1313,0.6562,3.096,4.644,9.024,10.528
1,1,C1,7,7,5,53,0.6562,2.322,9.776,0.3937,0.9187,1.548,3.096,9.024,10.528
1,1,C1,7,7,6,54,0.3938,2.322,9.776,0.1313,0.6562,1.548,3.096,9.024,10.528
1,1,C1,7,7,7,55,0.3938,0.774,9.776,0.1313,0.6562,0.0,1.548,9.024,10.528
1,1,C1,7,7,8,56,0.6562,0.774,9.776,0.3937,0.9187,0.0,1.548,9.024,10.528
1,2,C2,1,8,1,57,3.4033,5.418,0.752,3.1408,3.6658,4.644,6.192,0.0,1.504
1,2,C2,1,8,2,58,3.1408,5.418,0.752,2.8782,3.4033,4.644,6.192,0.0,1.504
1,2,C2,1,8,3,59,3.4033,3.87,0.752,3.1408,3.6658,3.096,4.644,0.0,1.504
1,2,C2,1,8,4,60,3.1408,3.87,0.752,2.8782,3.4033,3.096,4.644,0.0,1.504
1,2,C2,1,8,5,61,3.4033,2.322,0.752,3.1408,3.6658,1.548,3.096,0.0,1.504
1,2,C2,1,8,6,62,3.1408,2.322,0.752,2.8782,3.4033,1.548,3.096,0.0,1.504
1,2,C2,1,8,7,63,3.1408,0.774,0.752,2.8782,3.4033,0.0,1.548,0.0,1.504
1,2,C2,1,8,8,64,3.4033,0.774,0.752,3.1408,3.6658,0.0,1.548,0.0,1.504
1,2,C2,2,9,1,65,3.4033,5.418,2.256,3.1408,3.6658,4.644,6.192,1.504,3.008
1,2,C2,2,9,2,66,3.1408,5.418,2.256,2.8782,3.4033,4.644,6.192,1.504,3.008
1,2,C2,2,9,3,67,3.4033,3.87,2.256,3.1408,3.6658,3.096,4.644,1.504,3.008
1,2,C2,2,9,4,68,3.1408,3.87,2.256,2.8782,3.4033,3.096,4.644,1.504,3.008
1,2,C2,2,9,5,69,3.4033,2.322,2.256,3.1408,3.6658,1.548,3.096,1.504,3.008
1,2,C2,2,9,6,70,3.1408,2.322,2.256,2.8782,3.4033,1.548,3.096,1.504,3.008
1,2,C2,2,9,7,71,3.1408,0.774,2.256,2.8782,3.4033,0.0,1.548,1.504,3.008
1,2,C2,2,9,8,72,3.4033,0.774,2.256,3.1408,3.6658,0.0,1.548,1.504,3.008
1,2,C2,3,10,1,73,3.4033,5.418,3.76,3.1408,3.6658,4.644,6.192,3.008,4.512
1,2,C2,3,10,2,74,3.1408,5.418,3.76,2.8782,3.4033,4.644,6.192,3.008,4.512
1,2,C2,3,10,3,75,3.4033,3.87,3.76,3.1408,3.6658,3.096,4.644,3.008,4.512
1,2,C2,3,10,4,76,3.1408,3.87,3.76,2.8782,3.4033,3.096,4.644,3.008,4.512
1,2,C2,3,10,5,77,3.4033,2.322,3.76,3.1408,3.6658,1.548,3.096,3.008,4.512
1,2,C2,3,10,6,78,3.1408,2.322,3.76,2.8782,3.4033,1.548,3.096,3.008,4.512
1,2,C2,3,10,7,79,3.1408,0.774,3.76,2.8782,3.4033,0.0,1.548,3.008,4.512
1,2,C2,3,10,8,80,3.4033,0.774,3.76,3.1408,3.6658,0.0,1.548,3.008,4.512
1,2,C2,4,11,1,81,3.4033,5.418,5.264,3.1408,3.6658,4.644,6.192,4.512,6.016
1,2,C2,4,11,2,82,3.1408,5.418,5.264,2.8782,3.4033,4.644,6.192,4.512,6.016
1,2,C2,4,11,3,83,3.4033,3.87,5.264,3.1408,3.6658,3.096,4.644,4.512,6.016
1,2,C2,4,11,4,84,3.1408,3.87,5.264,2.8782,3.4033,3.096,4.644,4.512,6.016
1,2,C2,4,11,5,85,3.4033,2.322,5.264,3.1408,3.6658,1.548,3.096,4.512,6.016
1,2,C2,4,11,6,86,3.1408,2.322,5.264,2.8782,3.4033,1.548,3.096,4.512,6.016
1,2,C2,4,11,7,87,3.1408,0.774,5.264,2.8782,3.4033,0.0,1.548,4.512,6.016
1,2,C2,4,11,8,88,3.4033,0.774,5.264,3.1408,3.6658,0.0,1.548,4.512,6.016
1,2,C2,5,12,1,89,3.4033,5.418,6.768,3.1408,3.6658,4.644,6.192,6.016,7.52
1,2,C2,5,12,2,90,3.1408,5.418,6.768,2.8782,3.4033,4.644,6.192,6.016,7.52
1,2,C2,5,12,3,91,3.4033,3.87,6.768,3.1408,3.6658,3.096,4.644,6.016,7.52
1,2,C2,5,12,4,92,3.1408,3.87,6.768,2.8782,3.4033,3.096,4.644,6.016,7.52
1,2,C2,5,12,5,93,3.4033,2.322,6.768,3.1408,3.6658,1.548,3.096,6.016,7.52
1,2,C2,5,12,6,94,3.1408,2.322,6.768,2.8782,3.4033,1.548,3.096,6.016,7.52
1,2,C2,5,12,7,95,3.1408,0.774,6.768,2.8782,3.4033,0.0,1.548,6.016,7.52
1,2,C2,5,12,8,96,3.4033,0.774,6.768,3.1408,3.6658,0.0,1.548,6.016,7.52
1,2,C2,6,13,1,97,3.4033,5.418,8.272,3.1408,3.6658,4.644,6.192,7.52,9.024
1,2,C2,6,13,2,98,3.1408,5.418,8.272,2.8782,3.4033,4.644,6.192,7.52,9.024
1,2,C2,6,13,3,99,3.4033,3.87,8.272,3.1408,3.6658,3.096,4.644,7.52,9.024
1,2,C2,6,13,4,100,3.1408,3.87,8.272,2.8782,3.4033,3.096,4.644,7.52,9.024
1,2,C2,6,13,5,101,3.4033,2.322,8.272,3.1408,3.6658,1.548,3.096,7.52,9.024
1,2,C2,6,13,6,102,3.1408,2.322,8.272,2.8782,3.4033,1.548,3.096,7.52,9.024
1,2,C2,6,13,7,103,3.1408,0.774,8.272,2.8782,3.4033,0.0,1.548,7.52,9.024
1,2,C2,6,13,8,104,3.4033,0.774,8.272,3.1408,3.6658,0.0,1.548,7.52,9.024
1,2,C2,7,14,1,105,3.4033,5.418,9.776,3.1408,3.6658,4.644,6.192,9.024,10.528
1,2,C2,7,14,2,106,3.1408,5.418,9.776,2.8782,3.4033,4.644,6.192,9.024,10.528
1,2,C2,7,14,3,107,3.4033,3.87,9.776,3.1408,3.6658,3.096,4.644,9.024,10.528
1,2,C2,7,14,4,108,3.1408,3.87,9.776,2.8782,3.4033,3.096,4.644,9.024,10.528
1,2,C2,7,14,5,109,3.4033,2.322,9.776,3.1408,3.6658,1.548,3.096,9.024,10.528
1,2,C2,7,14,6,110,3.1408,2.322,9.776,2.8782,3.4033,1.548,3.096,9.024,10.528
1,2,C2,7,14,7,111,3.1408,0.774,9.776,2.8782,3.4033,0.0,1.548,9.024,10.528
1,2,C2,7,14,8,112,3.4033,0.774,9.776,3.1408,3.6658,0.0,1.548,9.024,10.528
1,3,C3,1,15,1,113,6.1502,5.418,0.752,5.8877,6.4127,4.644,6.192,0.0,1.504
1,3,C3,1,15,2,114,5.8878,5.418,0.752,5.6253,6.1503,4.644,6.192,0.0,1.504
1,3,C3,1,15,3,115,6.1502,3.87,0.752,5.8877,6.4127,3.096,4.644,0.0,1.504
1,3,C3,1,15,4,116,5.8878,3.87,0.752,5.6253,6.1503,3.096,4.644,0.0,1.504
1,3,C3,1,15,5,117,6.1502,2.322,0.752,5.8877,6.4127,1.548,3.096,0.0,1.504
1,3,C3,1,15,6,118,5.8878,2.322,0.752,5.6253,6.1503,1.548,3.096,0.0,1.504
1,3,C3,1,15,7,119,5.8878,0.774,0.752,5.6253,6.1503,0.0,1.548,0.0,1.504
1,3,C3,1,15,8,120,6.1502,0.774,0.752,5.8877,6.4127,0.0,1.548,0.0,1.504
1,3,C3,2,16,1,121,6.1502,5.418,2.256,5.8877,6.4127,4.644,6.192,1.504,3.008
1,3,C3,2,16,2,122,5.8878,5.418,2.256,5.6253,6.1503,4.644,6.192,1.504,3.008
1,3,C3,2,16,3,123,6.1502,3.87,2.256,5.8877,6.4127,3.096,4.644,1.504,3.008
1,3,C3,2,16,4,124,5.8878,3.87,2.256,5.6253,6.1503,3.096,4.644,1.504,3.008
1,3,C3,2,16,5,125,6.1502,2.322,2.256,5.8877,6.4127,1.548,3.096,1.504,3.008
1,3,C3,2,16,6,126,5.8878,2.322,2.256,5.6253,6.1503,1.548,3.096,1.504,3.008
1,3,C3,2,16,7,127,5.8878,0.774,2.256,5.6253,6.1503,0.0,1.548,1.504,3.008
1,3,C3,2,16,8,128,6.1502,0.774,2.256,5.8877,6.4127,0.0,1.548,1.504,3.008
1,3,C3,3,17,1,129,6.1502,5.418,3.76,5.8877,6.4127,4.644,6.192,3.008,4.512
1,3,C3,3,17,2,130,5.8878,5.418,3.76,5.6253,6.1503,4.644,6.192,3.008,4.512
1,3,C3,3,17,3,131,6.1502,3.87,3.76,5.8877,6.4127,3.096,4.644,3.008,4.512
1,3,C3,3,17,4,132,5.8878,3.87,3.76,5.6253,6.1503,3.096,4.644,3.008,4.512
1,3,C3,3,17,5,133,6.1502,2.322,3.76,5.8877,6.4127,1.548,3.096,3.008,4.512
1,3,C3,3,17,6,134,5.8878,2.322,3.76,5.6253,6.1503,1.548,3.096,3.008,4.512
1,3,C3,3,17,7,135,5.8878,0.774,3.76,5.6253,6.1503,0.0,1.548,3.008,4.512
1,3,C3,3,17,8,136,6.1502,0.774,3.76,5.8877,6.4127,0.0,1.548,3.008,4.512
1,3,C3,4,18,1,137,6.1502,5.418,5.264,5.8877,6.4127,4.644,6.192,4.512,6.016
1,3,C3,4,18,2,138,5.8878,5.418,5.264,5.6253,6.1503,4.644,6.192,4.512,6.016
1,3,C3,4,18,3,139,6.1502,3.87,5.264,5.8877,6.4127,3.096,4.644,4.512,6.016
1,3,C3,4,18,4,140,5.8878,3.87,5.264,5.6253,6.1503,3.096,4.644,4.512,6.016
1,3,C3,4,18,5,141,6.1502,2.322,5.264,5.8877,6.4127,1.548,3.096,4.512,6.016
1,3,C3,4,18,6,142,5.8878,2.322,5.264,5.6253,6.1503,1.548,3.096,4.512,6.016
1,3,C3,4,18,7,143,5.8878,0.774,5.264,5.6253,6.1503,0.0,1.548,4.512,6.016
1,3,C3,4,18,8,144,6.1502,0.774,5.264,5.8877,6.4127,0.0,1.548,4.512,6.016
1,3,C3,5,19,1,145,6.1502,5.418,6.768,5.8877,6.4127,4.644,6.192,6.016,7.52
1,3,C3,5,19,2,146,5.8878,5.418,6.768,5.6253,6.1503,4.644,6.192,6.016,7.52
1,3,C3,5,19,3,147,6.1502,3.87,6.768,5.8877,6.4127,3.096,4.644,6.016,7.52
1,3,C3,5,19,4,148,5.8878,3.87,6.768,5.6253,6.1503,3.096,4.644,6.016,7.52
1,3,C3,5,19,5,149,6.1502,2.322,6.768,5.8877,6.4127,1.548,3.096,6.016,7.52
1,3,C3,5,19,6,150,5.8878,2.322,6.768,5.6253,6.1503,1.548,3.096,6.016,7.52
1,3,C3,5,19,7,151,5.8878,0.774,6.768,5.6253,6.1503,0.0,1.548,6.016,7.52
1,3,C3,5,19,8,152,6.1502,0.774,6.768,5.8877,6.4127,0.0,1.548,6.016,7.52
1,3,C3,6,20,1,153,6.1502,5.418,8.272,5.8877,6.4127,4.644,6.192,7.52,9.024
1,3,C3,6,20,2,154,5.8878,5.418,8.272,5.6253,6.1503,4.644,6.192,7.52,9.024
1,3,C3,6,20,3,155,6.1502,3.87,8.272,5.8877,6.4127,3.096,4.644,7.52,9.024
1,3,C3,6,20,4,156,5.8878,3.87,8.272,5.6253,6.1503,3.096,4.644,7.52,9.024
1,3,C3,6,20,5,157,6.1502,2.322,8.272,5.8877,6.4127,1.548,3.096,7.52,9.024
1,3,C3,6,20,6,158,5.8878,2.322,8.272,5.6253,6.1503,1.548,3.096,7.52,9.024
1,3,C3,6,20,7,159,5.8878,0.774,8.272,5.6253,6.1503,0.0,1.548,7.52,9.024
1,3,C3,6,20,8,160,6.1502,0.774,8.272,5.8877,6.4127,0.0,1.548,7.52,9.024
1,3,C3,7,21,1,161,6.1502,5.418,9.776,5.8877,6.4127,4.644,6.192,9.024,10.528
1,3,C3,7,21,2,162,5.8878,5.418,9.776,5.6253,6.1503,4.644,6.192,9.024,10.528
1,3,C3,7,21,3,163,6.1502,3.87,9.776,5.8877,6.4127,3.096,4.644,9.024,10.528
1,3,C3,7,21,4,164,5.8878,3.87,9.776,5.6253,6.1503,3.096,4.644,9.024,10.528
1,3,C3,7,21,5,165,6.1502,2.322,9.776,5.8877,6.4127,1.548,3.096,9.024,10.528
1,3,C3,7,21,6,166,5.8878,2.322,9.776,5.6253,6.1503,1.548,3.096,9.024,10.528
1,3,C3,7,21,7,167,5.8878,0.774,9.776,5.6253,6.1503,0.0,1.548,9.024,10.528
1,3,C3,7,21,8,168,6.1502,0.774,9.776,5.8877,6.4127,0.0,1.548,9.024,10.528
1,4,C4,1,22,1,169,8.8972,5.418,0.752,8.6348,9.1597,4.644,6.192,0.0,1.504
1,4,C4,1,22,2,170,8.6348,5.418,0.752,8.3723,8.8972,4.644,6.192,0.0,1.504
1,4,C4,1,22,3,171,8.8972,3.87,0.752,8.6348,9.1597,3.096,4.644,0.0,1.504
1,4,C4,1,22,4,172,8.6348,3.87,0.752,8.3723,8.8972,3.096,4.644,0.0,1.504
1,4,C4,1,22,5,173,8.8972,2.322,0.752,8.6348,9.1597,1.548,3.096,0.0,1.504
1,4,C4,1,22,6,174,8.6348,2.322,0.752,8.3723,8.8972,1.548,3.096,0.0,1.504
1,4,C4,1,22,7,175,8.6348,0.774,0.752,8.3723,8.8972,0.0,1.548,0.0,1.504
1,4,C4,1,22,8,176,8.8972,0.774,0.752,8.6348,9.1597,0.0,1.548,0.0,1.504
1,4,C4,2,23,1,177,8.8972,5.418,2.256,8.6348,9.1597,4.644,6.192,1.504,3.008
1,4,C4,2,23,2,178,8.6348,5.418,2.256,8.3723,8.8972,4.644,6.192,1.504,3.008
1,4,C4,2,23,3,179,8.8972,3.87,2.256,8.6348,9.1597,3.096,4.644,1.504,3.008
1,4,C4,2,23,4,180,8.6348,3.87,2.256,8.3723,8.8972,3.096,4.644,1.504,3.008
1,4,C4,2,23,5,181,8.8972,2.322,2.256,8.6348,9.1597,1.548,3.096,1.504,3.008
1,4,C4,2,23,6,182,8.6348,2.322,2.256,8.3723,8.8972,1.548,3.096,1.504,3.008
1,4,C4,2,23,7,183,8.6348,0.774,2.256,8.3723,8.8972,0.0,1.548,1.504,3.008
1,4,C4,2,23,8,184,8.8972,0.774,2.256,8.6348,9.1597,0.0,1.548,1.504,3.008
1,4,C4,3,24,1,185,8.8972,5.418,3.76,8.6348,9.1597,4.644,6.192,3.008,4.512
1,4,C4,3,24,2,186,8.6348,5.418,3.76,8.3723,8.8972,4.644,6.192,3.008,4.512
1,4,C4,3,24,3,187,8.8972,3.87,3.76,8.6348,9.1597,3.096,4.644,3.008,4.512
1,4,C4,3,24,4,188,8.6348,3.87,3.76,8.3723,8.8972,3.096,4.644,3.008,4.512
1,4,C4,3,24,5,189,8.8972,2.322,3.76,8.6348,9.1597,1.548,3.096,3.008,4.512
1,4,C4,3,24,6,190,8.6348,2.322,3.76,8.3723,8.8972,1.548,3.096,3.008,4.512
1,4,C4,3,24,7,191,8.6348,0.774,3.76,8.3723,8.8972,0.0,1.548,3.008,4.512
1,4,C4,3,24,8,192,8.8972,0.774,3.76,8.6348,9.1597,0.0,1.548,3.008,4.512
1,4,C4,4,25,1,193,8.8972,5.418,5.264,8.6348,9.1597,4.644,6.192,4.512,6.016
1,4,C4,4,25,2,194,8.6348,5.418,5.264,8.3723,8.8972,4.644,6.192,4.512,6.016
1,4,C4,4,25,3,195,8.8972,3.87,5.264,8.6348,9.1597,3.096,4.644,4.512,6.016
1,4,C4,4,25,4,196,8.6348,3.87,5.264,8.3723,8.8972,3.096,4.644,4.512,6.016
1,4,C4,4,25,5,197,8.8972,2.322,5.264,8.6348,9.1597,1.548,3.096,4.512,6.016
1,4,C4,4,25,6,198,8.6348,2.322,5.264,8.3723,8.8972,1.548,3.096,4.512,6.016
1,4,C4,4,25,7,199,8.6348,0.774,5.264,8.3723,8.8972,0.0,1.548,4.512,6.016
1,4,C4,4,25,8,200,8.8972,0.774,5.264,8.6348,9.1597,0.0,1.548,4.512,6.016
1,4,C4,5,26,1,201,8.8972,5.418,6.768,8.6348,9.1597,4.644,6.192,6.016,7.52
1,4,C4,5,26,2,202,8.6348,5.418,6.768,8.3723,8.8972,4.644,6.192,6.016,7.52
1,4,C4,5,26,3,203,8.8972,3.87,6.768,8.6348,9.1597,3.096,4.644,6.016,7.52
1,4,C4,5,26,4,204,8.6348,3.87,6.768,8.3723,8.8972,3.096,4.644,6.016,7.52
1,4,C4,5,26,5,205,8.8972,2.322,6.768,8.6348,9.1597,1.548,3.096,6.016,7.52
1,4,C4,5,26,6,206,8.6348,2.322,6.768,8.3723,8.8972,1.548,3.096,6.016,7.52
1,4,C4,5,26,7,207,8.6348,0.774,6.768,8.3723,8.8972,0.0,1.548,6.016,7.52
1,4,C4,5,26,8,208,8.8972,0.774,6.768,8.6348,9.1597,0.0,1.548,6.016,7.52
1,4,C4,6,27,1,209,8.8972,5.418,8.272,8.6348,9.1597,4.644,6.192,7.52,9.024
1,4,C4,6,27,2,210,8.6348,5.418,8.272,8.3723,8.8972,4.644,6.192,7.52,9.024
1,4,C4,6,27,3,211,8.8972,3.87,8.272,8.6348,9.1597,3.096,4.644,7.52,9.024
1,4,C4,6,27,4,212,8.6348,3.87,8.272,8.3723,8.8972,3.096,4.644,7.52,9.024
1,4,C4,6,27,5,213,8.8972,2.322,8.272,8.6348,9.1597,1.548,3.096,7.52,9.024
1,4,C4,6,27,6,214,8.6348,2.322,8.272,8.3723,8.8972,1.548,3.096,7.52,9.024
1,4,C4,6,27,7,215,8.6348,0.774,8.272,8.3723,8.8972,0.0,1.548,7.52,9.024
1,4,C4,6,27,8,216,8.8972,0.774,8.272,8.6348,9.1597,0.0,1.548,7.52,9.024
1,4,C4,7,28,1,217,8.8972,5.418,9.776,8.6348,9.1597,4.644,6.192,9.024,10.528
1,4,C4,7,28,2,218,8.6348,5.418,9.776,8.3723,8.8972,4.644,6.192,9.024,10.528
1,4,C4,7,28,3,219,8.8972,3.87,9.776,8.6348,9.1597,3.096,4.644,9.024,10.528
1,4,C4,7,28,4,220,8.6348,3.87,9.776,8.3723,8.8972,3.096,4.644,9.024,10.528
1,4,C4,7,28,5,221,8.8972,2.322,9.776,8.6348,9.1597,1.548,3.096,9.024,10.528
1,4,C4,7,28,6,222,8.6348,2.322,9.776,8.3723,8.8972,1.548,3.096,9.024,10.528
1,4,C4,7,28,7,223,8.6348,0.774,9.776,8.3723,8.8972,0.0,1.548,9.024,10.528
1,4,C4,7,28,8,224,8.8972,0.774,9.776,8.6348,9.1597,0.0,1.548,9.024,10.528
1,5,C5,1,29,1,225,11.6442,5.418,0.752,11.3818,11.9067,4.644,6.192,0.0,1.504
1,5,C5,1,29,2,226,11.3818,5.418,0.752,11.1193,11.6442,4.644,6.192,0.0,1.504
1,5,C5,1,29,3,227,11.6442,3.87,0.752,11.3818,11.9067,3.096,4.644,0.0,1.504
1,5,C5,1,29,4,228,11.3818,3.87,0.752,11.1193,11.6442,3.096,4.644,0.0,1.504
1,5,C5,1,29,5,229,11.6442,2.322,0.752,11.3818,11.9067,1.548,3.096,0.0,1.504
1,5,C5,1,29,6,230,11.3818,2.322,0.752,11.1193,11.6442,1.548,3.096,0.0,1.504
1,5,C5,1,29,7,231,11.3818,0.774,0.752,11.1193,11.6442,0.0,1.548,0.0,1.504
1,5,C5,1,29,8,232,11.6442,0.774,0.752,11.3818,11.9067,0.0,1.548,0.0,1.504
1,5,C5,2,30,1,233,11.6442,5.418,2.256,11.3818,11.9067,4.644,6.192,1.504,3.008
1,5,C5,2,30,2,234,11.3818,5.418,2.256,11.1193,11.6442,4.644,6.192,1.504,3.008
1,5,C5,2,30,3,235,11.6442,3.87,2.256,11.3818,11.9067,3.096,4.644,1.504,3.008
1,5,C5,2,30,4,236,11.3818,3.87,2.256,11.1193,11.6442,3.096,4.644,1.504,3.008
1,5,C5,2,30,5,237,11.6442,2.322,2.256,11.3818,11.9067,1.548,3.096,1.504,3.008
1,5,C5,2,30,6,238,11.3818,2.322,2.256,11.1193,11.6442,1.548,3.096,1.504,3.008
1,5,C5,2,30,7,239,11.3818,0.774,2.256,11.1193,11.6442,0.0,1.548,1.504,3.008
1,5,C5,2,30,8,240,11.6442,0.774,2.256,11.3818,11.9067,0.0,1.548,1.504,3.008
1,5,C5,3,31,1,241,11.6442,5.418,3.76,11.3818,11.9067,4.644,6.192,3.008,4.512
1,5,C5,3,31,2,242,11.3818,5.418,3.76,11.1193,11.6442,4.644,6.192,3.008,4.512
1,5,C5,3,31,3,243,11.6442,3.87,3.76,11.3818,11.9067,3.096,4.644,3.008,4.512
1,5,C5,3,31,4,244,11.3818,3.87,3.76,11.1193,11.6442,3.096,4.644,3.008,4.512
1,5,C5,3,31,5,245,11.6442,2.322,3.76,11.3818,11.9067,1.548,3.096,3.008,4.512
1,5,C5,3,31,6,246,11.3818,2.322,3.76,11.1193,11.6442,1.548,3.096,3.008,4.512
1,5,C5,3,31,7,247,11.3818,0.774,3.76,11.1193,11.6442,0.0,1.548,3.008,4.512
1,5,C5,3,31,8,248,11.6442,0.774,3.76,11.3818,11.9067,0.0,1.548,3.008,4.512
1,5,C5,4,32,1,249,11.6442,5.418,5.264,11.3818,11.9067,4.644,6.192,4.512,6.016
1,5,C5,4,32,2,250,11.3818,5.418,5.264,11.1193,11.6442,4.644,6.192,4.512,6.016
1,5,C5,4,32,3,251,11.6442,3.87,5.264,11.3818,11.9067,3.096,4.644,4.512,6.016
1,5,C5,4,32,4,252,11.3818,3.87,5.264,11.1193,11.6442,3.096,4.644,4.512,6.016
1,5,C5,4,32,5,253,11.6442,2.322,5.264,11.3818,11.9067,1.548,3.096,4.512,6.016
1,5,C5,4,32,6,254,11.3818,2.322,5.264,11.1193,11.6442,1.548,3.096,4.512,6.016
1,5,C5,4,32,7,255,11.3818,0.774,5.264,11.1193,11.6442,0.0,1.548,4.512,6.016
